id,value
0,370
0,427
0,391
0,443
0,455
0,468
0,452
0,456
0,459
0,218
0,445
0,-322
0,-322
0,-563
0,-717
0,-782
0,-582
0,-409
0,-790
0,-484
0,-101
0,-14
0,-148
0,58
0,-2
0,-126
0,376
0,566
0,-226
0,-205
0,421
0,280
0,79
0,342
0,261
0,114
0,403
0,384
0,411
0,350
0,385
0,380
0,308
0,274
0,339
0,316
0,251
0,289
0,130
0,-210
0,256
0,128
0,-233
0,-157
0,126
0,164
0,19
0,70
0,264
0,318
0,-86
0,-14
0,318
0,364
0,18
0,104
0,387
0,406
0,57
0,26
0,412
0,426
0,47
0,71
0,444
0,453
0,143
0,158
0,478
0,496
0,496
0,507
0,513
0,513
0,514
0,519
0,516
0,520
0,375
0,-656
0,-135
0,-795
0,-756
0,-869
0,-785
0,-822
0,-766
0,-443
0,-786
0,-370
0,-401
0,105
0,-226
0,246
0,688
0,700
0,637
0,649
0,695
0,696
0,593
0,564
0,628
0,81
0,530
0,222
0,456
0,512
0,382
0,461
0,538
0,544
0,470
0,451
0,546
0,557
0,428
0,399
0,559
0,544
0,367
0,349
0,543
0,548
0,336
0,329
0,564
0,575
0,317
0,294
0,577
0,580
0,261
0,223
0,578
0,567
0,186
0,138
0,556
0,552
0,90
0,42
0,547
0,536
0,-5
0,-61
0,525
0,512
0,-113
0,-164
0,213
0,213
0,-89
0,-78
0,218
0,222
0,-51
0,-47
0,-244
0,-714
0,-135
0,-377
0,-447
0,-748
0,113
0,-124
0,-324
0,-99
0,57
0,176
0,200
0,511
0,375
0,558
0,214
0,37
0,41
0,-40
0,342
0,370
0,450
0,88
0,209
0,74
0,-124
0,-61
0,80
0,97
0,-212
0,-215
0,87
0,105
0,-201
0,2
0,55
0,-82
0,-62
0,-384
0,-190
0,-260
0,-516
0,-558
0,-330
0,-383
0,-561
0,-565
0,-437
0,-511
0,-571
0,-569
0,-549
0,-597
0,-542
0,-534
0,-628
0,-660
0,-521
0,-525
0,-656
0,-698
0,-495
0,-512
0,-688
0,-735
0,-492
0,-590
0,-735
0,-717
0,-538
0,-529
0,-393
0,-353
0,-412
0,-347
0,-288
0,-271
0,-295
0,-282
0,-299
0,-35
0,-268
0,19
0,96
0,24
0,57
0,-41
0,-6
0,459
0,-35
0,-258
0,458
0,541
0,445
0,350
0,440
0,532
0,460
0,546
0,745
0,353
0,319
0,375
0,189
0,-69
0,331
0,-138
0,-300
0,-301
0,-193
0,-304
0,-281
0,6
0,-288
0,28
0,-57
0,-389
0,-57
0,-379
0,-507
0,-553
0,-472
0,-503
0,-581
0,-597
0,-508
0,-498
0,-601
0,-602
0,-477
0,-473
0,-577
0,-583
0,-438
0,-445
0,-545
0,-589
0,-410
0,-437
0,-568
0,-590
0,-396
0,-412
0,-546
0,-586
0,-315
0,-311
0,-516
0,-560
0,-393
0,-483
0,-382
0,-331
0,-367
0,-323
0,-292
0,-282
0,-281
0,-280
0,-242
0,53
0,-233
0,70
0,60
0,-21
0,69
0,-408
0,-36
0,-425
0,-324
0,-324
0,355
0,324
0,266
0,324
0,439
0,269
0,359
0,138
0,199
0,367
0,-140
0,250
0,55
0,-321
0,-336
0,-451
0,-144
0,-111
0,-272
0,-133
0,-238
0,-46
0,-145
0,-124
0,-192
0,-380
0,-263
0,-300
0,-459
0,-471
0,-350
0,-376
0,-486
0,-517
0,-416
0,-435
0,-529
0,-528
0,-427
0,-406
0,-487
0,-551
0,-337
0,-371
0,-501
0,-534
0,-368
0,-390
0,-481
0,-514
0,-376
0,-420
0,-259
0,-249
0,-95
0,40
0,-587
0,-618
0,-140
0,-366
0,-399
0,-376
0,-478
0,-479
0,-278
0,-346
0,-305
0,-467
0,-278
0,88
0,-327
0,-70
0,21
0,-343
0,-192
0,-327
0,-370
0,-458
0,-349
0,-488
0,-68
0,129
0,-412
0,-73
0,390
0,440
0,45
0,169
0,364
0,16
0,160
0,-272
0,-453
0,-349
0,-514
0,-211
0,-428
0,-346
0,-272
0,-463
0,-342
0,-264
0,-472
0,-402
0,-158
0,-268
0,-291
0,-232
0,-316
0,-350
0,-228
0,-287
0,-449
0,-504
0,-373
0,-406
0,-495
0,-459
0,-381
0,-392
0,-377
0,-487
0,-530
0,22
0,-376
0,-516
0,839
0,448
0,-531
0,-571
0,-358
0,-403
0,-297
0,23
0,-217
0,233
0,39
0,-73
0,200
0,232
0,-506
0,-489
0,-494
0,-466
0,-335
0,-512
0,-332
0,-319
0,-267
0,-50
0,16
0,-118
0,-248
0,-394
0,-164
0,-234
0,-378
0,-420
0,-343
0,-381
0,-431
0,-395
0,-454
0,-365
0,-126
0,-87
0,-323
0,-212
0,22
0,-451
0,-107
0,-494
0,-441
0,-291
0,-415
0,-125
0,-254
0,-159
0,-130
0,-313
0,-501
0,-493
0,-500
0,-540
0,-423
0,-297
0,-502
0,-414
0,-143
0,-261
0,-285
0,-154
0,-421
0,-513
0,-314
0,-237
0,-427
0,-74
0,9
0,61
0,-118
0,213
0,-17
0,-165
0,602
0,382
0,-47
0,-526
0,-574
0,-532
0,-725
0,-446
0,-42
0,475
0,-136
0,257
0,370
0,125
0,337
0,86
0,94
0,370
0,20
0,345
0,201
0,373
0,714
0,807
0,397
0,172
0,883
0,857
0,-139
0,-331
0,329
0,-147
0,-398
0,-461
0,-450
0,-468
0,-414
0,-478
0,-425
0,-429
0,-616
0,-412
0,-311
0,-560
0,-74
0,-360
0,-437
0,-260
0,-440
0,-222
0,-512
0,-268
0,-309
0,-140
0,102
0,-133
0,-580
0,-751
0,-596
0,-851
0,-226
0,-231
0,-635
0,-46
0,-376
0,-234
0,225
0,-41
0,772
0,622
0,574
0,736
0,251
0,-205
0,849
0,595
0,-353
0,-404
0,-235
0,-127
0,-302
0,-579
0,-76
0,-296
0,-618
0,-534
0,-308
0,-252
0,-234
0,-130
0,-161
0,-317
0,58
0,-77
0,-475
0,-558
0,234
0,-249
0,178
0,-483
0,184
0,664
0,-336
0,294
0,831
0,758
0,677
0,518
0,507
0,7
0,33
0,-830
0,163
0,-478
0,-807
0,-541
0,-456
0,-60
0,-519
0,-108
0,369
0,-152
0,591
0,29
0,-629
0,-529
0,-416
0,-500
0,-529
0,-201
0,-480
0,-372
0,-274
0,-315
0,-263
0,-368
0,-495
0,-692
0,-518
0,-716
0,-560
0,-207
0,-531
0,-123
0,21
0,202
0,72
0,148
0,377
0,573
0,250
0,383
0,725
0,846
0,485
0,579
0,808
0,222
0,711
0,859
0,-288
0,-361
0,739
0,178
0,-330
0,-294
0,-278
0,-201
0,-225
0,-337
0,58
0,-278
0,-536
0,-619
0,-558
0,-614
0,182
0,-188
0,226
0,153
0,-524
0,-360
0,-204
0,-423
0,141
0,-110
0,-389
0,-446
0,-761
0,-871
0,-897
0,-867
0,-878
0,-822
0,-867
0,-861
0,-528
0,-269
0,-533
0,-503
0,164
0,305
0,-398
0,-335
0,-126
0,-354
0,-315
0,-255
0,-344
0,-386
0,-264
0,-295
0,-430
0,-435
0,-394
0,-350
0,-557
0,-809
0,-591
0,-690
0,-630
0,-234
0,-302
0,-138
0,-182
0,-255
0,-139
0,-65
0,-39
0,208
0,20
0,-120
0,295
0,400
0,88
0,94
0,544
0,659
0,302
0,392
0,391
0,1
0,-267
0,214
0,479
0,453
0,287
0,364
0,521
0,-133
0,362
0,466
0,-573
0,-641
0,-315
0,-399
0,-714
0,-698
0,-300
0,-432
0,-305
0,-105
0,-539
0,-27
0,-385
0,-241
0,122
0,-783
0,-845
0,-851
0,-840
0,-724
0,-850
0,-644
0,-536
0,-556
0,-518
0,-512
0,-658
0,-496
0,-486
0,-477
0,-485
0,38
0,-423
0,-178
0,134
0,242
0,-36
0,211
0,277
0,37
0,105
0,-128
0,-317
0,-379
0,-736
0,-410
0,-694
0,-199
0,185
0,522
0,624
0,670
0,266
0,60
0,300
0,160
0,32
0,38
0,-387
0,-399
0,51
0,6
0,-267
0,-5
0,132
0,246
0,196
0,278
0,-204
0,-3
0,210
0,59
0,221
0,188
0,294
0,269
0,114
0,142
0,201
0,42
0,280
0,-293
0,55
0,240
0,-85
0,49
0,89
0,198
0,132
0,528
0,-141
0,567
0,-483
0,-835
0,-802
0,-495
0,-631
0,-520
0,-487
0,-801
0,-720
0,-817
0,-838
0,-551
0,-530
0,-486
0,-483
0,-472
0,-468
0,-173
0,-465
0,-477
0,-184
0,-264
0,-484
0,-483
0,-450
0,-446
0,-471
0,-388
0,-398
0,-417
0,-458
0,-344
0,-524
0,-426
0,-311
0,-365
0,222
0,205
0,143
0,418
0,172
0,-43
0,275
0,-271
0,-604
0,-357
0,-800
0,-518
0,-339
0,-124
0,-299
0,474
0,-92
0,-367
0,299
0,-397
0,-254
0,-252
0,-427
0,-526
0,-205
0,199
0,-531
0,152
0,264
0,109
0,-52
0,247
0,124
0,-172
0,-507
0,-656
0,8
0,-138
0,-107
0,-435
0,-123
0,295
0,125
0,-313
0,-441
0,-470
0,-364
0,-480
0,-533
0,-868
0,-593
0,-704
0,-614
0,-496
0,-507
0,-505
0,-497
0,-492
0,-504
0,-512
0,-484
0,-482
0,-507
0,-511
0,-481
0,-468
0,-502
0,-472
0,-430
